dataset,split,model,status,n_patients_or_groups,n_images,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,macro_f1,macro_f1_ci_low,macro_f1_ci_high,mcc,macro_roc_auc_ovr,macro_pr_auc_ovr,ece_uncalibrated,ece_calibrated,brier_uncalibrated,brier_calibrated,nll_uncalibrated,nll_calibrated,temperature,notes
development,internal_locked_test,efficientnet,evaluated_resource_constrained,1460,2107,0.9074513526340768,0.8890491452991454,0.9247279458935874,0.8931423674515198,0.9077811010222777,0.8908842636649038,0.9226932019964076,0.8758502564707474,0.9797520897922735,0.9630189240068329,0.05254801967883337,0.05591035892061555,0.1422206800799122,0.1503554003085943,0.31871723593290247,0.3465019015323544,0.6081846356391907,"Internal source test; bootstrap groups are duplicate/provenance components, not verified patients; resource-constrained run, not protocol-conformant"
development,internal_locked_test,custom_cnn,complete,1460,2107,0.8391077361177028,0.8166229689371135,0.8611142196359296,0.8162748353605597,0.8327405550992993,0.8123627213343076,0.8536932078575811,0.7865810924693062,0.9538202081107388,0.9116714278307827,0.028770960942785313,0.09946671848224699,0.25354886510403474,0.2713270857652441,0.5023275153495312,0.6360748589810676,0.5498910546302795,"Internal source test; bootstrap groups are duplicate/provenance components, not verified patients"
